language,Part of speech,word,translation,word_type,gender,article,display_word,example_sentence_original,example_sentence_translation,exam_board_code,theme_name,theme_name.1,tier,is_required
es,n (m),el club,club,,,el,el club,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el examen,exam,,,el,el examen,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el Internet,internet,,,el,el Internet,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el uniforme,uniform,,,el,el uniforme,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el día,day,,,el,el día,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el país,country,,,el,el país,,,AQA,People and lifestyle,Education and work,both,
es,v,llamar; llamarse,"(to) call, name | calling, naming; (to) be called | being called",,,,llamar; llamarse,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el mundo,world,,,el,el mundo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el trabajo,"work, job, effort",,,el,el trabajo,,,AQA,People and lifestyle,Education and work,both,
es,v,trabajar,(to) work | working,,,,trabajar,,,AQA,People and lifestyle,Education and work,both,
es,v,buscar,"(to) look for, fetch | looking for, fetching",,,,buscar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la historia,"history, story",,,la,la historia,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la palabra,word,,,la,la palabra,,,AQA,People and lifestyle,Education and work,both,
es,v,escribir,(to) write | writing,,,,escribir,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el señor,"Mr., man, Sir, gentleman",,,el,el señor,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el arte,art,,,el,el arte,,,AQA,People and lifestyle,Education and work,both,
es,v,leer,(to) read | reading,,,,leer,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el amigo,friend,,,el,el amigo,,,AQA,People and lifestyle,Education and work,both,
es,v,pedir,(to) ask for | asking for,,,,pedir,,,AQA,People and lifestyle,Education and work,both,
es,v,permitir; permitirse,"(to) allow, permit | allowing, permitting; (to) afford | affording",,,,permitir; permitirse,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el libro,book,,,el,el libro,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la relación,relationship,,,la,la relación,,,AQA,People and lifestyle,Education and work,both,
es,v,sacar,"(to) take out, get, obtain | taking out, getting, obtaining",,,,sacar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la puerta,door,,,la,la puerta,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el estudio,"study, learning, studio",,,el,el estudio,,,AQA,People and lifestyle,Education and work,both,
es,n (mpl),servicios,toilets,,,,servicios,,,AQA,People and lifestyle,Education and work,both,
es,v,servir,(to) serve | serving,,,,servir,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la empresa,"company, business, firm",,,la,la empresa,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la clase,"class, kind, type, classroom, lesson",,,la,la clase,,,AQA,People and lifestyle,Education and work,both,
es,v,tocar,"(to) touch, play (instrument) | touching, playing (instrument)",,,,tocar,,,AQA,People and lifestyle,Education and work,both,
es,v,estudiar,(to) study | studying,,,,estudiar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la música,music,,,la,la música,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el campo,"countryside, pitch, field",,,el,el campo,,,AQA,People and lifestyle,Education and work,both,
es,v,comer,(to) eat | eating,,,,comer,,,AQA,People and lifestyle,Education and work,both,
es,v,jugar,(to) play (sport/game) | playing (sport/game),,,,jugar,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el juego,game,,,el,el juego,,,AQA,People and lifestyle,Education and work,both,
es,v,,(I) play | (I) am playing,,,,,,,AQA,People and lifestyle,Education and work,both,
es,v,juegas,(you) play | (you) are playing,,,,juegas,,,AQA,People and lifestyle,Education and work,both,
es,v,juega,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",,,,juega | ijuega!,,,AQA,People and lifestyle,Education and work,both,
es,v,juegan,(they) play | (they) are playing,,,,juegan,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el equipo,"team, equipment",,,el,el equipo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el proyecto,"project, plan",,,el,el proyecto,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la universidad,university,,,la,la universidad,,,AQA,People and lifestyle,Education and work,both,
