word,translation,language,category,subcategory,part_of_speech,difficulty_level,curriculum_level,example_sentence,example_translation,phonetic,gender,irregular_forms,synonyms,antonyms,tags,article,base_word,,_20
salut,hello,fr,basics_core_language,greetings_introductions,interjection,beginner,KS3,Salut ! Ça va ?,Hello! How are you?,/saˈly/,,,"bonjour, bonsoir",au revoir,greeting;basic;informal,,,,
bonjour,good morning,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Bonjour, monsieur.","Good morning, sir.",/bon.ˈʒuʁ/,,,"salut, bonsoir",au revoir,greeting;time_of_day;formal,,bonjour,,
bonsoir,good evening,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Bonsoir, Marie.","Good evening, Marie.",/bon.ˈswaʁ/,,,"bonjour, bonne nuit",au revoir,greeting;time_of_day,,bonsoir,,
bonne nuit,good night,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,Bonne nuit et dors bien.,Good night and sleep well.,/bɔn nɥi/,,,"bonsoir, à demain",bonjour,greeting;time_of_day,,bonne nuit,,
comment allez-vous?,how are you?,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,Comment allez-vous ?,How are you?,/ko.mɑ̃ ta.le vu/,,,"ça va?, comment ça va?",très bien,question;greeting;formal,,comment allez-vous?,,
ça va?,how are you?,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,Ça va ?,How are you?,/sa va/,,,comment allez-vous?,ça va bien,question;greeting;informal,,ça va?,,
très bien,very well,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Je vais très bien, merci.","I am very well, thank you.",/tʁɛ bjɛ̃/,,,"ça va bien, parfait",mal,response;greeting,,très bien,,
et vous?,and you?,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,Et vous ?,And you?,/e vu/,,,et toi?,de rien,question;conversation;formal,,et vous?,,
et toi?,and you?,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,Et toi ?,And you?,/e twa/,,,et vous?,de rien,question;conversation;informal,,et toi?,,
je m'appelle,my name is,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,Je m'appelle Anne.,My name is Anne.,/ʒə ma.pɛl/,,,je suis,,,phrase;introduction,,,
enchanté,pleased to meet you,fr,basics_core_language,greetings_introductions,adjective,beginner,KS3,Enchanté de vous rencontrer.,Pleased to meet you.,/ɑ̃.ʃɑ̃.ˈte/,m,,,enchantée,,,enchanté,,
enchantée,pleased to meet you,fr,basics_core_language,greetings_introductions,adjective,beginner,KS3,Enchantée de vous rencontrer.,Pleased to meet you.,/ɑ̃.ʃɑ̃.ˈte/,f,,,enchanté,,,enchantée,,
à bientôt,see you soon,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,"À bientôt, on se voit.","See you soon, see you.",/a bjɛ̃.to/,,,à plus tard,au revoir,farewell;casual,,à bientôt,,
à plus tard,see you later,fr,basics_core_language,greetings_introductions,phrase,beginner,KS3,"À plus tard, prenez soin de vous.","See you later, take care.",/a ply taʁ/,,,à bientôt,au revoir,farewell;casual,,à plus tard,,
ciao,bye,fr,basics_core_language,greetings_introductions,interjection,beginner,KS3,"Ciao, à demain.","Bye, see you tomorrow.",/ˈtʃao/,,,salut,farewell;informal,,,ciao,,
au revoir,goodbye,fr,basics_core_language,greetings_introductions,interjection,beginner,KS3,"Au revoir, bonne journée.","Goodbye, have a good day.",/o ʁə.vwaʁ/,,,"salut, à bientôt",bonjour,greeting;farewell;formal,,au revoir,,
s'il vous plaît,please,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"S'il vous plaît, aidez-moi.","Please, help me.",/sil vu plɛ/,,,,,polite;request;formal,,s'il vous plaît,,
s'il te plaît,please,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"S'il te plaît, aide-moi.","Please, help me.",/sil tə plɛ/,,,,,polite;request;informal,,s'il te plaît,,
merci,thank you,fr,basics_core_language,common_phrases,interjection,beginner,KS3,Merci beaucoup pour votre aide.,Thank you very much for your help.,/mɛʁ.ˈsi/,,,merci beaucoup,de rien,polite;gratitude,,merci,,
de rien,you're welcome,fr,basics_core_language,common_phrases,phrase,beginner,KS3,Merci. – De rien.,Thank you. – You're welcome.,/də ʁjɛ̃/,,,je vous en prie,,polite;response,,de rien,,
je suis désolé,I'm sorry,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"Je suis désolé, ce n'était pas ma faute.","I'm sorry, it wasn't my fault.",/ʒə sɥi de.zo.le/,,,"pardon, excusez-moi",,apology;polite;masculine,,je suis désolé,,
je suis désolée,I'm sorry,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"Je suis désolée, ce n'était pas ma faute.","I'm sorry, it wasn't my fault.",/ʒə sɥi de.zo.le/,,,"pardon, excusez-moi",,apology;polite;feminine,,je suis désolée,,
pardon,sorry/excuse me,fr,basics_core_language,common_phrases,interjection,beginner,KS3,"Pardon, je ne vous ai pas vu.","Sorry, I didn't see you.",/paʁ.dɔ̃/,,,excusez-moi,,apology;polite,,pardon,,
excusez-moi,excuse me,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"Excusez-moi, où est la gare ?","Excuse me, where is the station?",/ɛk.sky.ze mwa/,,,pardon,,apology;polite;formal,,excusez-moi,,
oui,yes,fr,basics_core_language,common_phrases,adverb,beginner,KS3,Voulez-vous venir ? – Oui.,Do you want to come? – Yes.,/wi/,,,,non,basic;response,,oui,,
non,no,fr,basics_core_language,common_phrases,adverb,beginner,KS3,Allez-vous y aller ? – Non.,Are you going? – No.,/nɔ̃/,,,,oui,basic;response,,non,,
comment ça va?,how's it going?,fr,basics_core_language,common_phrases,phrase,beginner,KS3,Salut ! Comment ça va ?,Hello! How's it going?,/ko.mɑ̃ sa va/,,,ça va?,,conversation;greeting;informal,,comment ça va?,,
