Theme,Topic,Part of speech,Headword Spanish,English equivelant,
People and lifestyle,Education and work,adj,ingls,English,
People and lifestyle,Education and work,adj,responsable,responsible,
People and lifestyle,Education and work,adj,trabajador,hardworking,
People and lifestyle,Education and work,adj,educativo,educational,
People and lifestyle,Education and work,adj,laboral,"(of) work, relating to work",
People and lifestyle,Education and work,adj,listo,"ready (after estar), clever, intelligent (after ser)",
People and lifestyle,Education and work,adj,cansado,"tired, tiring ",
People and lifestyle,Education and work,adj,deportivo,"sporty, sports",
People and lifestyle,Education and work,adj,tonto,silly,
People and lifestyle,Education and work,adj,online,online,
People and lifestyle,Education and work,adj,perezoso,lazy,
People and lifestyle,Education and work,mwp,medios de comunicacin,media,
People and lifestyle,Education and work,mwp,al aire libre,"in the open air, outdoors",
People and lifestyle,Education and work,n (f),historia,"history, story",
People and lifestyle,Education and work,n (f),palabra,word,
People and lifestyle,Education and work,n (f),relacin,relationship,
People and lifestyle,Education and work,n (f),puerta,door,
People and lifestyle,Education and work,n (f),empresa,"company, business, firm",
People and lifestyle,Education and work,n (f),clase,"class, kind, type, classroom, lesson",
People and lifestyle,Education and work,n (f),msica,music,
People and lifestyle,Education and work,n (f),universidad,university,
People and lifestyle,Education and work,n (f),experiencia,experience,
People and lifestyle,Education and work,n (f),escuela,(primary) school,
People and lifestyle,Education and work,n (f),carrera,"career, (university) degree course, race",
People and lifestyle,Education and work,n (f),educacin,education,
People and lifestyle,Education and work,n (f),mesa,table,
People and lifestyle,Education and work,n (f),pelcula,"film, movie",
People and lifestyle,Education and work,n (f),oportunidad,"opportunity, chance",
People and lifestyle,Education and work,n (f),lengua,"tongue, language",
People and lifestyle,Education and work,n (f),pgina,page,
People and lifestyle,Education and work,n (f),carta,"letter, menu",
People and lifestyle,Education and work,n (f),compaa,company,
People and lifestyle,Education and work,n (f),prueba,"test, trial, proof ",
People and lifestyle,Education and work,n (f),suerte,"luck, fortune",
People and lifestyle,Education and work,n (f),ventana,window,
People and lifestyle,Education and work,n (f),novela,novel,
People and lifestyle,Education and work,n (f),ciencias,science(s),
People and lifestyle,Education and work,n (f),red (Red),"network (Internet), net (fishing)",
People and lifestyle,Education and work,n (f),economa,"economy, economics ",
People and lifestyle,Education and work,n (f),ropa,"clothes, clothing",
People and lifestyle,Education and work,n (f),revista,magazine,
People and lifestyle,Education and work,n (f),conversacin,conversation,
People and lifestyle,Education and work,n (f),tarea,"task, chore, homework",
People and lifestyle,Education and work,n (f),industria,industry,
People and lifestyle,Education and work,n (f),frase,"phrase, sentence",
People and lifestyle,Education and work,n (f),tecnologa,technology,
People and lifestyle,Education and work,n (f),oficina,office,
People and lifestyle,Education and work,n (f),caja,"box, till (in shop)",
People and lifestyle,Education and work,n (f),presin,pressure,
People and lifestyle,Education and work,n (f),nota,"grade, note, mark",
People and lifestyle,Education and work,n (f),opcin,"option, choice",
People and lifestyle,Education and work,n (f),lista,"list, (school) register",
People and lifestyle,Education and work,n (f),silla,"chair, seat",
People and lifestyle,Education and work,n (f),regla,"rule, ruler",
People and lifestyle,Education and work,n (f),confianza,"confidence, trust",
People and lifestyle,Education and work,n (f),moda; de moda,"fashion; in fashion, fashionable",
People and lifestyle,Education and work,n (f),medicina,medicine,
People and lifestyle,Education and work,n (f),amistad,friendship,
People and lifestyle,Education and work,n (f),profesin,profession,
People and lifestyle,Education and work,n (f),tienda,"shop, tent",
People and lifestyle,Education and work,n (f),entrevista,interview,
People and lifestyle,Education and work,n (f),bolsa,bag,
People and lifestyle,Education and work,n (f),biblioteca,library,
People and lifestyle,Education and work,n (f),discusin,"discussion, argument",
People and lifestyle,Education and work,n (f),oferta,offer,
People and lifestyle,Education and work,n (f),instalacin,facility,
People and lifestyle,Education and work,n (f),camisa,shirt,
People and lifestyle,Education and work,n (f),fbrica,factory,
People and lifestyle,Education and work,n (f),vacaciones; de vacaciones,holidays; on holiday,
People and lifestyle,Education and work,n (f),falda,skirt,
People and lifestyle,Education and work,n (f),actriz,"actor (f), actress",
People and lifestyle,Education and work,n (f),geografa,geography,
People and lifestyle,Education and work,n (f),recepcin,reception,
People and lifestyle,Education and work,n (f),asignatura,school subject,
People and lifestyle,Education and work,n (f),excursin,"trip, excursion",
People and lifestyle,Education and work,n (f),camarera,waitress,
People and lifestyle,Education and work,n (f),informtica,ICT,
People and lifestyle,Education and work,n (f),mochila,"rucksack, school bag",
People and lifestyle,Education and work,n (f),"bicicleta, bici","bicycle, bike",
People and lifestyle,Education and work,n (fpl),matemticas,maths,
People and lifestyle,Education and work,n (m),club,club,
People and lifestyle,Education and work,n (m),examen,exam,
People and lifestyle,Education and work,n (m),Internet,internet,
People and lifestyle,Education and work,n (m),uniforme,uniform,
People and lifestyle,Education and work,n (m),da,day,
People and lifestyle,Education and work,n (m),pas,country,
People and lifestyle,Education and work,n (m),mundo,world,
People and lifestyle,Education and work,n (m),trabajo,"work, job, effort",
People and lifestyle,Education and work,n (m),seor,"Mr., man, Sir, gentleman",
People and lifestyle,Education and work,n (m),arte,art,
People and lifestyle,Education and work,n (m),amigo,friend,
People and lifestyle,Education and work,n (m),libro,book,
People and lifestyle,Education and work,n (m),estudio,"study, learning, studio ",
People and lifestyle,Education and work,n (m),campo,"countryside, pitch, field",
People and lifestyle,Education and work,n (m),juego,game,
People and lifestyle,Education and work,n (m),equipo,"team, equipment",
People and lifestyle,Education and work,n (m),proyecto,"project, plan",
People and lifestyle,Education and work,n (m),papel,"paper, role, part",
People and lifestyle,Education and work,n (m),sueo,"dream, sleep",
People and lifestyle,Education and work,n (m),mercado,market,
People and lifestyle,Education and work,n (m),resultado,result,
People and lifestyle,Education and work,n (m),autor,"writer, author",
People and lifestyle,Education and work,n (m),viaje,"trip, journey",
People and lifestyle,Education and work,n (m),miembro,member,
People and lifestyle,Education and work,n (m),esfuerzo,effort,
People and lifestyle,Education and work,n (m),teatro,"theatre, drama",
People and lifestyle,Education and work,n (m),colegio,(secondary) school,
People and lifestyle,Education and work,n (m),negocio,business,
People and lifestyle,Education and work,n (m),xito,success,
People and lifestyle,Education and work,n (m),banco,"(financial) bank, bench",
People and lifestyle,Education and work,n (m),extranjero,"abroad, foreigner (m)",
People and lifestyle,Education and work,n (m),apoyo,"support, backing",
People and lifestyle,Education and work,n (m),edificio,building,
People and lifestyle,Education and work,n (m),alumno,"student, pupil",
People and lifestyle,Education and work,n (m),error,"error, mistake",
People and lifestyle,Education and work,n (m),ejrcito,army,
People and lifestyle,Education and work,n (m),consejo,(piece of) advice,
People and lifestyle,Education and work,n (m),peridico,newspaper,
People and lifestyle,Education and work,n (m),hospital,hospital,
People and lifestyle,Education and work,n (m),premio,"prize, reward, award",
People and lifestyle,Education and work,n (m),respeto,"respect, regard",
People and lifestyle,Education and work,n (m),museo,museum,
People and lifestyle,Education and work,n (m),septiembre,September,
People and lifestyle,Education and work,n (m),idioma,language,
People and lifestyle,Education and work,n (m),patio,"yard, playground",
People and lifestyle,Education and work,n (m),dueo,"owner, landlord (m)",
People and lifestyle,Education and work,n (m),barco,"boat, ship",
People and lifestyle,Education and work,n (m),avin,"plane, aeroplane",
People and lifestyle,Education and work,n (m),empleo,"work, job, occupation",
People and lifestyle,Education and work,n (m),ftbol,football,
People and lifestyle,Education and work,n (m),zapato,shoe,
People and lifestyle,Education and work,n (m),actor,actor (m),
People and lifestyle,Education and work,n (m),instituto,secondary school,
People and lifestyle,Education and work,n (m),comportamiento,behaviour,
People and lifestyle,Education and work,n (m),espectculo,"show, spectacle",
People and lifestyle,Education and work,n (m),correo (electrnico),"mail, post (email)",
People and lifestyle,Education and work,n (m),puente,"bridge, long weekend",
People and lifestyle,Education and work,n (m),dibujo,"drawing, art",
People and lifestyle,Education and work,n (m),vuelo,flight,
People and lifestyle,Education and work,n (m),empleado,employee,
People and lifestyle,Education and work,n (m),pantaln,trousers,
People and lifestyle,Education and work,n (m),salario,salary,
People and lifestyle,Education and work,n (m),concurso,"competition, quiz",
People and lifestyle,Education and work,n (m),deberes,homework,
People and lifestyle,Education and work,n (m),horario,"timetable, schedule",
People and lifestyle,Education and work,n (m),estadio,stadium,
People and lifestyle,Education and work,n (m),ordenador,computer,
People and lifestyle,Education and work,n (m),enfermero,nurse,
People and lifestyle,Education and work,n (m),paro,"unemployment, strike",
People and lifestyle,Education and work,n (m),autobs,bus,
People and lifestyle,Education and work,n (m),estrs,stress,
People and lifestyle,Education and work,n (m),acoso,bullying,
People and lifestyle,Education and work,n (m),bolgrafo,pen,
People and lifestyle,Education and work,n (m),camarero,waiter,
People and lifestyle,Education and work,n (m),cuidador,carer,
People and lifestyle,Education and work,n (m),peluquero,hairdresser,
People and lifestyle,Education and work,n (m),recreo,break (at school),
People and lifestyle,Education and work,n (m),Bachillerato,Baccalaureate (equivalent to A levels),
People and lifestyle,Education and work,n (mpl),servicios,toilets,
People and lifestyle,Education and work,v,llamar; llamarse,"(to) call, name | calling, naming; (to) be called | being called ",
People and lifestyle,Education and work,v,trabajar,(to) work | working,
People and lifestyle,Education and work,v,buscar,"(to) look for, fetch | looking for, fetching",
People and lifestyle,Education and work,v,escribir,(to) write | writing,
People and lifestyle,Education and work,v,leer,(to) read | reading,
People and lifestyle,Education and work,v,pedir,(to) ask for | asking for,
People and lifestyle,Education and work,v,permitir; permitirse,"(to) allow, permit | allowing, permitting; (to) afford | affording ",
People and lifestyle,Education and work,v,sacar,"(to) take out, get, obtain | taking out, getting, obtaining",
People and lifestyle,Education and work,v,servir,(to) serve | serving,
People and lifestyle,Education and work,v,tocar,"(to) touch, play (instrument) | touching, playing (instrument)",
People and lifestyle,Education and work,v,estudiar,(to) study | studying,
People and lifestyle,Education and work,v,comer,(to) eat | eating,
People and lifestyle,Education and work,v,jugar,(to) play (sport/game) | playing (sport/game),
People and lifestyle,Education and work,v,juego,(I) play | (I) am playing ,
People and lifestyle,Education and work,v,juegas,(you) play | (you) are playing,
People and lifestyle,Education and work,v,juega | ijuega!,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",
People and lifestyle,Education and work,v,juegan,(they) play | (they) are playing,
People and lifestyle,Education and work,v,continuar,(to) continue |continuing,
People and lifestyle,Education and work,v,aprender,(to) learn | learning,
People and lifestyle,Education and work,v,aceptar,(to) accept | accepting,
People and lifestyle,Education and work,v,vender,(to) sell |selling,
People and lifestyle,Education and work,v,mandar,"(to) send, order | sending, ordering",
People and lifestyle,Education and work,v,participar,(to) participate | participating,
People and lifestyle,Education and work,v,construir,(to) build |building,
People and lifestyle,Education and work,v,ensear,"(to) teach, show| teaching, showing",
People and lifestyle,Education and work,v,apoyar,(to) support | supporting,
People and lifestyle,Education and work,v,gritar,(to) shout | shouting,
People and lifestyle,Education and work,v,enviar,(to) send | sending,
People and lifestyle,Education and work,v,cantar,(to) sing | singing,
People and lifestyle,Education and work,v,mejorar,"(to) improve, make better | improving, making better",
People and lifestyle,Education and work,v,viajar,(to) travel | travelling,
People and lifestyle,Education and work,v,organizar,(to) organise | organising,
People and lifestyle,Education and work,v,respetar,(to) respect I respecting,
People and lifestyle,Education and work,v,aprobar,(to) pass (test) I passing (test),
People and lifestyle,Education and work,v,soar ,(to) dream I dreaming,
People and lifestyle,Education and work,v,comunicar,(to) communicate  I  communicating,
People and lifestyle,Education and work,v,pintar; pintarse,(to) paint I painting; (to) put on makeup | putting on makeup,
People and lifestyle,Education and work,v,callarse,"(to) be quiet, quieten down I being quiet, quietening down",
People and lifestyle,Education and work,v,grabar,(to) record I recording,
People and lifestyle,Education and work,v,votar,(to) vote I voting,
People and lifestyle,Education and work,v,pelearse,(to) fight (physically) I fighting (physically),
People and lifestyle,Education and work,v,disear,(to) design I designing,
People and lifestyle,Education and work,v,repasar,"(to) revise, review | revising, reviewing",
People and lifestyle,Education and work,n (m/f),profesor,teacher,
People and lifestyle,Education and work,n (m/f),compaero,"classmate, group member, colleague, companion ",
People and lifestyle,Education and work,n (m/f),director,"headteacher, director, manager",
People and lifestyle,Education and work,n (m/f),polica,"police, police officer (m)",
People and lifestyle,Education and work,n (m/f),mdico,doctor,
People and lifestyle,Education and work,n (m/f),modelo,model,
