slug,title,category,practice_status,quiz_status,content_type,exercise_type,exercise_instructions,prompt_sentence,prompt_answer,prompt_explanation,prompt_options,question_text,question_correct_answer,question_options,question_explanation,question_difficulty
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,fill_blank,Make the adjective agree with the noun,La casa _____ (blanco),blanca,Feminine singular nouns take feminine singular adjectives: blanco → blanca,,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,fill_blank,Make the adjective agree with the noun,Los coches _____ (rojo),rojos,Masculine plural nouns take masculine plural adjectives: rojo → rojos,,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,fill_blank,Make the adjective agree with the noun,Las flores _____ (bonito),bonitas,Feminine plural nouns take feminine plural adjectives: bonito → bonitas,,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,fill_blank,Make the adjective agree with the noun,El libro _____ (interesante),interesante,Adjectives ending in -e don't change for gender: interesante stays the same,,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,fill_blank,Make the adjective agree with the noun,La mesa _____ (grande),grande,Adjectives ending in -e don't change for gender: grande stays the same,,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,fill_blank,Make the adjective agree with the noun,Los estudiantes _____ (inteligente),inteligentes,Adjectives ending in -e add -s for plural: inteligente → inteligentes,,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,fill_blank,Make the adjective agree with the noun,Las chicas _____ (alto),altas,Feminine plural nouns take feminine plural adjectives: alto → altas,,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,multiple_choice,Choose the correct form of the adjective,Mi hermana es muy _____,guapa,Hermana is feminine singular so guapa is correct,guapa|guapo|guapas|guapos,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,multiple_choice,Choose the correct form of the adjective,Los gatos son _____,negros,Gatos is masculine plural so negros is correct,negro|negra|negros|negras,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,multiple_choice,Choose the correct form of the adjective,Las ventanas están _____,abiertas,Ventanas is feminine plural so abiertas is correct,abierto|abierta|abiertos|abiertas,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,multiple_choice,Choose the correct form of the adjective,El problema es muy _____,difícil,Problema is masculine singular so difícil is correct,difícil|difíciles|difícila|difícilas,,,,,
agreement,Agreement,adjectives,COMPLETED,MISSING,practice,multiple_choice,Choose the correct form of the adjective,La ciudad es _____,grande,Ciudad is feminine singular but grande doesn't change for gender,grande|grandes|granda|grandas,,,,,
