slug,title,category,practice_status,quiz_status,content_type,exercise_type,exercise_instructions,prompt_sentence,prompt_answer,prompt_explanation,prompt_options,question_text,question_correct_answer,question_options,question_explanation,question_difficulty
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,fill_blank,Make the adjective agree with the noun,La casa _____ (blanco),blanca,Feminine singular nouns take feminine singular adjectives: blanco → blanca,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,fill_blank,Make the adjective agree with the noun,Los coches _____ (rojo),rojos,Masculine plural nouns take masculine plural adjectives: rojo → rojos,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,fill_blank,Make the adjective agree with the noun,Las flores _____ (bonito),bonitas,Feminine plural nouns take feminine plural adjectives: bonito → bonitas,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,fill_blank,Make the adjective agree with the noun,El libro _____ (interesante),interesante,Adjectives ending in -e don't change for gender: interesante stays the same,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,fill_blank,Make the adjective agree with the noun,La mesa _____ (grande),grande,Adjectives ending in -e don't change for gender: grande stays the same,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,fill_blank,Make the adjective agree with the noun,Los estudiantes _____ (inteligente),inteligentes,Adjectives ending in -e add -s for plural: inteligente → inteligentes,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,fill_blank,Make the adjective agree with the noun,Las chicas _____ (alto),altas,Feminine plural nouns take feminine plural adjectives: alto → altas,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,multiple_choice,Choose the correct form of the adjective,Mi hermana es muy _____,guapa,Hermana is feminine singular so guapa is correct,guapa|guapo|guapas|guapos,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,multiple_choice,Choose the correct form of the adjective,Los gatos son _____,negros,Gatos is masculine plural so negros is correct,negro|negra|negros|negras,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,multiple_choice,Choose the correct form of the adjective,Las ventanas están _____,abiertas,Ventanas is feminine plural so abiertas is correct,abierto|abierta|abiertos|abiertas,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,multiple_choice,Choose the correct form of the adjective,El problema es muy _____,difícil,Problema is masculine singular so difícil is correct,difícil|difíciles|difícila|difícilas,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,multiple_choice,Choose the correct form of the adjective,La ciudad es _____,grande,Ciudad is feminine singular but grande doesn't change for gender,grande|grandes|granda|grandas,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,multiple_choice,Choose the correct form of the adjective,Los ejercicios son _____,fáciles,Ejercicios is masculine plural so fáciles is correct,fácil|fáciles|fácila|fácilas,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,multiple_choice,Choose the correct form of the adjective,Las profesoras son _____,españolas,Profesoras is feminine plural so españolas is correct,español|española|españoles|españolas,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,transformation,Change the adjective to agree with the new noun,El chico alto → La chica _____,alta,Change from masculine singular to feminine singular: alto → alta,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,transformation,Change the adjective to agree with the new noun,La mesa pequeña → Las mesas _____,pequeñas,Change from feminine singular to feminine plural: pequeña → pequeñas,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,transformation,Change the adjective to agree with the new noun,Los libros interesantes → El libro _____,interesante,Change from masculine plural to masculine singular: interesantes → interesante,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,transformation,Change the adjective to agree with the new noun,Las casas blancas → La casa _____,blanca,Change from feminine plural to feminine singular: blancas → blanca,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,transformation,Change the adjective to agree with the new noun,El coche rojo → Los coches _____,rojos,Change from masculine singular to masculine plural: rojo → rojos,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,transformation,Change the adjective to agree with the new noun,La niña feliz → Las niñas _____,felices,Change from feminine singular to feminine plural: feliz → felices,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,translation,Translate to Spanish,The red car,El coche rojo,Coche is masculine singular so rojo agrees,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,translation,Translate to Spanish,The white houses,Las casas blancas,Casas is feminine plural so blancas agrees,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,translation,Translate to Spanish,The intelligent students,Los estudiantes inteligentes,Estudiantes is masculine plural so inteligentes agrees,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,translation,Translate to Spanish,The big table,La mesa grande,Mesa is feminine but grande doesn't change for gender,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,substitution,Replace the adjective with the one in brackets,El perro negro (blanco),El perro blanco,Replace negro with blanco keeping masculine singular form,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,substitution,Replace the adjective with the one in brackets,Las flores rojas (amarillo),Las flores amarillas,Replace rojas with amarillas keeping feminine plural form,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,practice,substitution,Replace the adjective with the one in brackets,Los coches viejos (nuevo),Los coches nuevos,Replace viejos with nuevos keeping masculine plural form,,,,,,
agreement,Agreement,adjectives,COMPLETED,COMPLETED,quiz,multiple_choice,,,,,,Quiz: What is the advanced rule for Agreement?,The advanced answer.,Wrong1|The correct answer.|Wrong2|Wrong3,"This is the advanced explanation, suitable for KS3 students.",advanced
